sample_id,variant,frame,delivery_object,rank,pos,token,attn
apps_python_1,write_file,write,file,1,135, the,0.14148397743701935
apps_python_1,write_file,write,file,2,18, query,0.05083902180194855
apps_python_1,write_file,write,file,3,220,\n\n,0.04189901798963547
apps_python_1,write_file,write,file,4,215,assistant,0.03477547690272331
apps_python_1,write_file,write,file,5,38,"{""",0.0254888366907835
apps_python_1,write_below,write,below,1,135, the,0.13616923987865448
apps_python_1,write_below,write,below,2,18, query,0.06982211023569107
apps_python_1,write_below,write,below,3,138, below,0.045662641525268555
apps_python_1,write_below,write,below,4,217,\n\n,0.03963939845561981
apps_python_1,write_below,write,below,5,212,assistant,0.03274613246321678
apps_python_1,develop_file,develop,file,1,135, the,0.0991659015417099
apps_python_1,develop_file,develop,file,2,18, query,0.055555302649736404
apps_python_1,develop_file,develop,file,3,220,\n\n,0.044675327837467194
apps_python_1,develop_file,develop,file,4,215,assistant,0.03657275065779686
apps_python_1,develop_file,develop,file,5,38,"{""",0.028001319617033005
apps_python_1,develop_below,develop,below,1,135, the,0.09197281301021576
apps_python_1,develop_below,develop,below,2,18, query,0.07910267263650894
apps_python_1,develop_below,develop,below,3,217,\n\n,0.04152705520391464
apps_python_1,develop_below,develop,below,4,138, below,0.04070480540394783
apps_python_1,develop_below,develop,below,5,212,assistant,0.03389143943786621
codecontests_cpp_1,write_file,write,file,1,135, the,0.1623145043849945
codecontests_cpp_1,write_file,write,file,2,251,\n\n,0.043185096234083176
codecontests_cpp_1,write_file,write,file,3,18, query,0.042292021214962006
codecontests_cpp_1,write_file,write,file,4,149, below,0.036078229546546936
codecontests_cpp_1,write_file,write,file,5,134,Write,0.035878606140613556
codecontests_cpp_1,write_below,write,below,1,135, the,0.15289194881916046
codecontests_cpp_1,write_below,write,below,2,138, below,0.0630817636847496
codecontests_cpp_1,write_below,write,below,3,18, query,0.047337524592876434
codecontests_cpp_1,write_below,write,below,4,248,\n\n,0.042808979749679565
codecontests_cpp_1,write_below,write,below,5,243,assistant,0.03490743041038513
codecontests_cpp_1,develop_file,develop,file,1,135, the,0.11621347069740295
codecontests_cpp_1,develop_file,develop,file,2,18, query,0.04694051668047905
codecontests_cpp_1,develop_file,develop,file,3,251,\n\n,0.045607518404722214
codecontests_cpp_1,develop_file,develop,file,4,149, below,0.039090175181627274
codecontests_cpp_1,develop_file,develop,file,5,246,assistant,0.038345545530319214
codecontests_cpp_1,develop_below,develop,below,1,135, the,0.11306625604629517
codecontests_cpp_1,develop_below,develop,below,2,18, query,0.05408994480967522
codecontests_cpp_1,develop_below,develop,below,3,138, below,0.05252576246857643
codecontests_cpp_1,develop_below,develop,below,4,248,\n\n,0.04509473592042923
codecontests_cpp_1,develop_below,develop,below,5,243,assistant,0.03847711160778999
codecontests_java_1,write_file,write,file,1,135, the,0.14623036980628967
codecontests_java_1,write_file,write,file,2,18, query,0.04911743849515915
codecontests_java_1,write_file,write,file,3,246,\n\n,0.04871312901377678
codecontests_java_1,write_file,write,file,4,241,assistant,0.039989665150642395
codecontests_java_1,write_file,write,file,5,149, below,0.038158878684043884
codecontests_java_1,write_below,write,below,1,135, the,0.13275592029094696
codecontests_java_1,write_below,write,below,2,243,\n\n,0.04631209000945091
codecontests_java_1,write_below,write,below,3,138, below,0.04578707739710808
codecontests_java_1,write_below,write,below,4,18, query,0.044574446976184845
codecontests_java_1,write_below,write,below,5,238,assistant,0.038982290774583817
codecontests_java_1,develop_file,develop,file,1,135, the,0.1077500656247139
codecontests_java_1,develop_file,develop,file,2,18, query,0.05544959381222725
codecontests_java_1,develop_file,develop,file,3,246,\n\n,0.048868756741285324
codecontests_java_1,develop_file,develop,file,4,241,assistant,0.043125372380018234
codecontests_java_1,develop_file,develop,file,5,149, below,0.040931880474090576
codecontests_java_1,develop_below,develop,below,1,135, the,0.10208053886890411
codecontests_java_1,develop_below,develop,below,2,18, query,0.050466492772102356
codecontests_java_1,develop_below,develop,below,3,243,\n\n,0.04804033041000366
codecontests_java_1,develop_below,develop,below,4,238,assistant,0.04279964789748192
codecontests_java_1,develop_below,develop,below,5,138, below,0.034906864166259766
mbpp_python_1,write_file,write,file,1,135, the,0.10076034069061279
mbpp_python_1,write_file,write,file,2,18, query,0.05410571023821831
mbpp_python_1,write_file,write,file,3,300,\n\n,0.05220771208405495
mbpp_python_1,write_file,write,file,4,149, below,0.043702252209186554
mbpp_python_1,write_file,write,file,5,295,assistant,0.04159679263830185
mbpp_python_1,write_below,write,below,1,135, the,0.11672373861074448
mbpp_python_1,write_below,write,below,2,138, below,0.07360965013504028
mbpp_python_1,write_below,write,below,3,297,\n\n,0.05096506327390671
mbpp_python_1,write_below,write,below,4,18, query,0.047004979103803635
mbpp_python_1,write_below,write,below,5,292,assistant,0.03720368444919586
mbpp_python_1,develop_file,develop,file,1,135, the,0.08421076089143753
mbpp_python_1,develop_file,develop,file,2,18, query,0.0577085018157959
mbpp_python_1,develop_file,develop,file,3,300,\n\n,0.052541334182024
mbpp_python_1,develop_file,develop,file,4,149, below,0.0455789677798748
mbpp_python_1,develop_file,develop,file,5,295,assistant,0.04311442747712135
mbpp_python_1,develop_below,develop,below,1,135, the,0.09502103924751282
mbpp_python_1,develop_below,develop,below,2,138, below,0.07333055883646011
mbpp_python_1,develop_below,develop,below,3,297,\n\n,0.05359761789441109
mbpp_python_1,develop_below,develop,below,4,18, query,0.05198417603969574
mbpp_python_1,develop_below,develop,below,5,292,assistant,0.03980504348874092
codecontests_java_2,write_file,write,file,1,135, the,0.137976735830307
codecontests_java_2,write_file,write,file,2,149, below,0.05216016620397568
codecontests_java_2,write_file,write,file,3,287,\n\n,0.04474905878305435
codecontests_java_2,write_file,write,file,4,18, query,0.04076196998357773
codecontests_java_2,write_file,write,file,5,136, function,0.03719469904899597
codecontests_java_2,write_below,write,below,1,135, the,0.144651859998703
codecontests_java_2,write_below,write,below,2,138, below,0.060357172042131424
codecontests_java_2,write_below,write,below,3,18, query,0.04497387260198593
codecontests_java_2,write_below,write,below,4,284,\n\n,0.04014876112341881
codecontests_java_2,write_below,write,below,5,136, function,0.03520072251558304
codecontests_java_2,develop_file,develop,file,1,135, the,0.1083250641822815
codecontests_java_2,develop_file,develop,file,2,149, below,0.055141352117061615
codecontests_java_2,develop_file,develop,file,3,287,\n\n,0.047288842499256134
codecontests_java_2,develop_file,develop,file,4,18, query,0.04591454938054085
codecontests_java_2,develop_file,develop,file,5,282,assistant,0.038326654583215714
codecontests_java_2,develop_below,develop,below,1,135, the,0.1116974875330925
