sample_id,variant,role,head,set,mass
apps_python_1,clean_full,query_reader,L2H14,tools_block,0.1842474490404129
apps_python_1,clean_full,query_reader,L2H14,tools_payload,0.0012743504485115409
apps_python_1,clean_full,query_reader,L2H14,tool_call_tags,0.004318336956202984
apps_python_1,clean_full,query_reader,L2H14,protocol_payload,nan
apps_python_1,clean_full,query_reader,L2H14,user_block,0.23056438565254211
apps_python_1,clean_full,query_reader,L2H14,prefix_16,0.16168829798698425
apps_python_1,clean_full,schema_reader,L21H12,tools_block,0.18037550151348114
apps_python_1,clean_full,schema_reader,L21H12,tools_payload,0.022221175953745842
apps_python_1,clean_full,schema_reader,L21H12,tool_call_tags,0.030369604006409645
apps_python_1,clean_full,schema_reader,L21H12,protocol_payload,nan
apps_python_1,clean_full,schema_reader,L21H12,user_block,0.06347623467445374
apps_python_1,clean_full,schema_reader,L21H12,prefix_16,0.0683307871222496
apps_python_1,clean_full,no_tool_reader,L16H4,tools_block,0.03124219737946987
apps_python_1,clean_full,no_tool_reader,L16H4,tools_payload,6.996262982283952e-07
apps_python_1,clean_full,no_tool_reader,L16H4,tool_call_tags,0.00027556467102840543
apps_python_1,clean_full,no_tool_reader,L16H4,protocol_payload,nan
apps_python_1,clean_full,no_tool_reader,L16H4,user_block,0.4785672128200531
apps_python_1,clean_full,no_tool_reader,L16H4,prefix_16,0.1627928614616394
apps_python_1,corrupt_full,query_reader,L2H14,tools_block,0.17595899105072021
apps_python_1,corrupt_full,query_reader,L2H14,tools_payload,0.0012266597477719188
apps_python_1,corrupt_full,query_reader,L2H14,tool_call_tags,0.004200023598968983
apps_python_1,corrupt_full,query_reader,L2H14,protocol_payload,nan
apps_python_1,corrupt_full,query_reader,L2H14,user_block,0.26907792687416077
apps_python_1,corrupt_full,query_reader,L2H14,prefix_16,0.15363377332687378
apps_python_1,corrupt_full,schema_reader,L21H12,tools_block,0.2881740629673004
apps_python_1,corrupt_full,schema_reader,L21H12,tools_payload,0.0285980012267828
apps_python_1,corrupt_full,schema_reader,L21H12,tool_call_tags,0.013003611005842686
apps_python_1,corrupt_full,schema_reader,L21H12,protocol_payload,nan
apps_python_1,corrupt_full,schema_reader,L21H12,user_block,0.0683143213391304
apps_python_1,corrupt_full,schema_reader,L21H12,prefix_16,0.15843084454536438
apps_python_1,corrupt_full,no_tool_reader,L16H4,tools_block,0.025118974968791008
apps_python_1,corrupt_full,no_tool_reader,L16H4,tools_payload,3.983694796261261e-07
apps_python_1,corrupt_full,no_tool_reader,L16H4,tool_call_tags,0.00016200369282159954
apps_python_1,corrupt_full,no_tool_reader,L16H4,protocol_payload,nan
apps_python_1,corrupt_full,no_tool_reader,L16H4,user_block,0.5301167964935303
apps_python_1,corrupt_full,no_tool_reader,L16H4,prefix_16,0.14413398504257202
apps_python_1,clean_no_schema,query_reader,L2H14,tools_block,0.059979476034641266
apps_python_1,clean_no_schema,query_reader,L2H14,tools_payload,0.0019773931708186865
apps_python_1,clean_no_schema,query_reader,L2H14,tool_call_tags,0.005430527962744236
apps_python_1,clean_no_schema,query_reader,L2H14,protocol_payload,nan
apps_python_1,clean_no_schema,query_reader,L2H14,user_block,0.25654488801956177
apps_python_1,clean_no_schema,query_reader,L2H14,prefix_16,0.18506458401679993
apps_python_1,clean_no_schema,schema_reader,L21H12,tools_block,0.24101519584655762
apps_python_1,clean_no_schema,schema_reader,L21H12,tools_payload,0.028438864275813103
apps_python_1,clean_no_schema,schema_reader,L21H12,tool_call_tags,0.021088551729917526
apps_python_1,clean_no_schema,schema_reader,L21H12,protocol_payload,nan
apps_python_1,clean_no_schema,schema_reader,L21H12,user_block,0.07075289636850357
apps_python_1,clean_no_schema,schema_reader,L21H12,prefix_16,0.12920613586902618
apps_python_1,clean_no_schema,no_tool_reader,L16H4,tools_block,0.012786469422280788
apps_python_1,clean_no_schema,no_tool_reader,L16H4,tools_payload,3.249730525567429e-06
apps_python_1,clean_no_schema,no_tool_reader,L16H4,tool_call_tags,0.00039390777237713337
apps_python_1,clean_no_schema,no_tool_reader,L16H4,protocol_payload,nan
apps_python_1,clean_no_schema,no_tool_reader,L16H4,user_block,0.4848175644874573
apps_python_1,clean_no_schema,no_tool_reader,L16H4,prefix_16,0.18296384811401367
apps_python_1,clean_schema_mismatch,query_reader,L2H14,tools_block,0.19209876656532288
apps_python_1,clean_schema_mismatch,query_reader,L2H14,tools_payload,0.0013749764766544104
apps_python_1,clean_schema_mismatch,query_reader,L2H14,tool_call_tags,0.004332909360527992
apps_python_1,clean_schema_mismatch,query_reader,L2H14,protocol_payload,nan
apps_python_1,clean_schema_mismatch,query_reader,L2H14,user_block,0.22298498451709747
apps_python_1,clean_schema_mismatch,query_reader,L2H14,prefix_16,0.16766652464866638
apps_python_1,clean_schema_mismatch,schema_reader,L21H12,tools_block,0.3065449595451355
apps_python_1,clean_schema_mismatch,schema_reader,L21H12,tools_payload,0.04921736195683479
apps_python_1,clean_schema_mismatch,schema_reader,L21H12,tool_call_tags,0.02815288119018078
apps_python_1,clean_schema_mismatch,schema_reader,L21H12,protocol_payload,nan
apps_python_1,clean_schema_mismatch,schema_reader,L21H12,user_block,0.16993051767349243
apps_python_1,clean_schema_mismatch,schema_reader,L21H12,prefix_16,0.16776704788208008
apps_python_1,clean_schema_mismatch,no_tool_reader,L16H4,tools_block,0.027396144345402718
apps_python_1,clean_schema_mismatch,no_tool_reader,L16H4,tools_payload,8.221911684813676e-07
apps_python_1,clean_schema_mismatch,no_tool_reader,L16H4,tool_call_tags,0.0001876331225503236
apps_python_1,clean_schema_mismatch,no_tool_reader,L16H4,protocol_payload,nan
apps_python_1,clean_schema_mismatch,no_tool_reader,L16H4,user_block,0.5025408267974854
apps_python_1,clean_schema_mismatch,no_tool_reader,L16H4,prefix_16,0.16371729969978333
apps_python_1,clean_no_protocol,query_reader,L2H14,tools_block,0.18976500630378723
apps_python_1,clean_no_protocol,query_reader,L2H14,tools_payload,0.0010239459807053208
apps_python_1,clean_no_protocol,query_reader,L2H14,tool_call_tags,0.0030203349888324738
apps_python_1,clean_no_protocol,query_reader,L2H14,protocol_payload,0.034816887229681015
apps_python_1,clean_no_protocol,query_reader,L2H14,user_block,0.22161415219306946
apps_python_1,clean_no_protocol,query_reader,L2H14,prefix_16,0.15341179072856903
apps_python_1,clean_no_protocol,schema_reader,L21H12,tools_block,0.23625323176383972
apps_python_1,clean_no_protocol,schema_reader,L21H12,tools_payload,0.03868547081947327
apps_python_1,clean_no_protocol,schema_reader,L21H12,tool_call_tags,0.036890871822834015
apps_python_1,clean_no_protocol,schema_reader,L21H12,protocol_payload,0.14536680281162262
apps_python_1,clean_no_protocol,schema_reader,L21H12,user_block,0.2530868351459503
apps_python_1,clean_no_protocol,schema_reader,L21H12,prefix_16,0.13246992230415344
apps_python_1,clean_no_protocol,no_tool_reader,L16H4,tools_block,0.020845670253038406
apps_python_1,clean_no_protocol,no_tool_reader,L16H4,tools_payload,3.3395616583220544e-07
apps_python_1,clean_no_protocol,no_tool_reader,L16H4,tool_call_tags,4.3618420022539794e-05
apps_python_1,clean_no_protocol,no_tool_reader,L16H4,protocol_payload,0.003966642078012228
apps_python_1,clean_no_protocol,no_tool_reader,L16H4,user_block,0.4780121445655823
apps_python_1,clean_no_protocol,no_tool_reader,L16H4,prefix_16,0.09248369187116623
codecontests_cpp_1,clean_full,query_reader,L2H14,tools_block,0.11338303983211517
codecontests_cpp_1,clean_full,query_reader,L2H14,tools_payload,0.0007688296609558165
codecontests_cpp_1,clean_full,query_reader,L2H14,tool_call_tags,0.0028376730624586344
codecontests_cpp_1,clean_full,query_reader,L2H14,protocol_payload,nan
codecontests_cpp_1,clean_full,query_reader,L2H14,user_block,0.42754286527633667
codecontests_cpp_1,clean_full,query_reader,L2H14,prefix_16,0.11212696135044098
codecontests_cpp_1,clean_full,schema_reader,L21H12,tools_block,0.2290893793106079
codecontests_cpp_1,clean_full,schema_reader,L21H12,tools_payload,0.019403960555791855
codecontests_cpp_1,clean_full,schema_reader,L21H12,tool_call_tags,0.014532468281686306
codecontests_cpp_1,clean_full,schema_reader,L21H12,protocol_payload,nan
codecontests_cpp_1,clean_full,schema_reader,L21H12,user_block,0.01273677870631218
codecontests_cpp_1,clean_full,schema_reader,L21H12,prefix_16,0.044273074716329575
codecontests_cpp_1,clean_full,no_tool_reader,L16H4,tools_block,0.019550757482647896
codecontests_cpp_1,clean_full,no_tool_reader,L16H4,tools_payload,5.829720066685695e-07
codecontests_cpp_1,clean_full,no_tool_reader,L16H4,tool_call_tags,4.492564039537683e-05
codecontests_cpp_1,clean_full,no_tool_reader,L16H4,protocol_payload,nan
codecontests_cpp_1,clean_full,no_tool_reader,L16H4,user_block,0.32364580035209656
codecontests_cpp_1,clean_full,no_tool_reader,L16H4,prefix_16,0.08849930018186569
codecontests_cpp_1,corrupt_full,query_reader,L2H14,tools_block,0.1256633996963501
codecontests_cpp_1,corrupt_full,query_reader,L2H14,tools_payload,0.0008430972811765969
codecontests_cpp_1,corrupt_full,query_reader,L2H14,tool_call_tags,0.0029660253785550594
codecontests_cpp_1,corrupt_full,query_reader,L2H14,protocol_payload,nan
codecontests_cpp_1,corrupt_full,query_reader,L2H14,user_block,0.3713788390159607
codecontests_cpp_1,corrupt_full,query_reader,L2H14,prefix_16,0.12379360944032669
codecontests_cpp_1,corrupt_full,schema_reader,L21H12,tools_block,0.3469512462615967
codecontests_cpp_1,corrupt_full,schema_reader,L21H12,tools_payload,0.03957826644182205
codecontests_cpp_1,corrupt_full,schema_reader,L21H12,tool_call_tags,0.011134736239910126
codecontests_cpp_1,corrupt_full,schema_reader,L21H12,protocol_payload,nan
codecontests_cpp_1,corrupt_full,schema_reader,L21H12,user_block,0.1011216938495636
codecontests_cpp_1,corrupt_full,schema_reader,L21H12,prefix_16,0.15988869965076447
codecontests_cpp_1,corrupt_full,no_tool_reader,L16H4,tools_block,0.019767621532082558
codecontests_cpp_1,corrupt_full,no_tool_reader,L16H4,tools_payload,8.121770633806591e-07
codecontests_cpp_1,corrupt_full,no_tool_reader,L16H4,tool_call_tags,6.744966958649457e-05
codecontests_cpp_1,corrupt_full,no_tool_reader,L16H4,protocol_payload,nan
codecontests_cpp_1,corrupt_full,no_tool_reader,L16H4,user_block,0.4250272512435913
codecontests_cpp_1,corrupt_full,no_tool_reader,L16H4,prefix_16,0.09115394204854965
codecontests_cpp_1,clean_no_schema,query_reader,L2H14,tools_block,0.03462665528059006
codecontests_cpp_1,clean_no_schema,query_reader,L2H14,tools_payload,0.0010912371799349785
codecontests_cpp_1,clean_no_schema,query_reader,L2H14,tool_call_tags,0.0031822347082197666
codecontests_cpp_1,clean_no_schema,query_reader,L2H14,protocol_payload,nan
codecontests_cpp_1,clean_no_schema,query_reader,L2H14,user_block,0.46628299355506897
codecontests_cpp_1,clean_no_schema,query_reader,L2H14,prefix_16,0.13006728887557983
codecontests_cpp_1,clean_no_schema,schema_reader,L21H12,tools_block,0.25286075472831726
codecontests_cpp_1,clean_no_schema,schema_reader,L21H12,tools_payload,0.022863047197461128
codecontests_cpp_1,clean_no_schema,schema_reader,L21H12,tool_call_tags,0.00826670415699482
codecontests_cpp_1,clean_no_schema,schema_reader,L21H12,protocol_payload,nan
codecontests_cpp_1,clean_no_schema,schema_reader,L21H12,user_block,0.07654128968715668
codecontests_cpp_1,clean_no_schema,schema_reader,L21H12,prefix_16,0.1766376942396164
codecontests_cpp_1,clean_no_schema,no_tool_reader,L16H4,tools_block,0.005762012675404549
codecontests_cpp_1,clean_no_schema,no_tool_reader,L16H4,tools_payload,1.5201272844933555e-06
codecontests_cpp_1,clean_no_schema,no_tool_reader,L16H4,tool_call_tags,5.0285896577406675e-05
codecontests_cpp_1,clean_no_schema,no_tool_reader,L16H4,protocol_payload,nan
codecontests_cpp_1,clean_no_schema,no_tool_reader,L16H4,user_block,0.3281840682029724
codecontests_cpp_1,clean_no_schema,no_tool_reader,L16H4,prefix_16,0.07362940162420273
codecontests_cpp_1,clean_schema_mismatch,query_reader,L2H14,tools_block,0.11934871971607208
codecontests_cpp_1,clean_schema_mismatch,query_reader,L2H14,tools_payload,0.0009309535380452871
codecontests_cpp_1,clean_schema_mismatch,query_reader,L2H14,tool_call_tags,0.002739744260907173
codecontests_cpp_1,clean_schema_mismatch,query_reader,L2H14,protocol_payload,nan
codecontests_cpp_1,clean_schema_mismatch,query_reader,L2H14,user_block,0.43814167380332947
codecontests_cpp_1,clean_schema_mismatch,query_reader,L2H14,prefix_16,0.11368778347969055
codecontests_cpp_1,clean_schema_mismatch,schema_reader,L21H12,tools_block,0.41918402910232544
codecontests_cpp_1,clean_schema_mismatch,schema_reader,L21H12,tools_payload,0.04938754439353943
codecontests_cpp_1,clean_schema_mismatch,schema_reader,L21H12,tool_call_tags,0.013643542304635048
codecontests_cpp_1,clean_schema_mismatch,schema_reader,L21H12,protocol_payload,nan
codecontests_cpp_1,clean_schema_mismatch,schema_reader,L21H12,user_block,0.15137848258018494
codecontests_cpp_1,clean_schema_mismatch,schema_reader,L21H12,prefix_16,0.15109331905841827
codecontests_cpp_1,clean_schema_mismatch,no_tool_reader,L16H4,tools_block,0.018644578754901886
codecontests_cpp_1,clean_schema_mismatch,no_tool_reader,L16H4,tools_payload,3.0041223908483516e-07
codecontests_cpp_1,clean_schema_mismatch,no_tool_reader,L16H4,tool_call_tags,4.365169661468826e-05
codecontests_cpp_1,clean_schema_mismatch,no_tool_reader,L16H4,protocol_payload,nan
codecontests_cpp_1,clean_schema_mismatch,no_tool_reader,L16H4,user_block,0.3863438367843628
codecontests_cpp_1,clean_schema_mismatch,no_tool_reader,L16H4,prefix_16,0.0986902117729187
codecontests_cpp_1,clean_no_protocol,query_reader,L2H14,tools_block,0.11826653778553009
codecontests_cpp_1,clean_no_protocol,query_reader,L2H14,tools_payload,0.0007653254433535039
codecontests_cpp_1,clean_no_protocol,query_reader,L2H14,tool_call_tags,0.00324897444806993
codecontests_cpp_1,clean_no_protocol,query_reader,L2H14,protocol_payload,0.031221680343151093
codecontests_cpp_1,clean_no_protocol,query_reader,L2H14,user_block,0.4093751609325409
codecontests_cpp_1,clean_no_protocol,query_reader,L2H14,prefix_16,0.11937505006790161
codecontests_cpp_1,clean_no_protocol,schema_reader,L21H12,tools_block,0.2704166769981384
codecontests_cpp_1,clean_no_protocol,schema_reader,L21H12,tools_payload,0.043994925916194916
codecontests_cpp_1,clean_no_protocol,schema_reader,L21H12,tool_call_tags,0.02761944755911827
codecontests_cpp_1,clean_no_protocol,schema_reader,L21H12,protocol_payload,0.13124720752239227
codecontests_cpp_1,clean_no_protocol,schema_reader,L21H12,user_block,0.09692107886075974
codecontests_cpp_1,clean_no_protocol,schema_reader,L21H12,prefix_16,0.14977651834487915
codecontests_cpp_1,clean_no_protocol,no_tool_reader,L16H4,tools_block,0.012715685181319714
codecontests_cpp_1,clean_no_protocol,no_tool_reader,L16H4,tools_payload,1.7985436784329067e-07
codecontests_cpp_1,clean_no_protocol,no_tool_reader,L16H4,tool_call_tags,1.6792360838735476e-05
codecontests_cpp_1,clean_no_protocol,no_tool_reader,L16H4,protocol_payload,0.0010754265822470188
codecontests_cpp_1,clean_no_protocol,no_tool_reader,L16H4,user_block,0.40474918484687805
codecontests_cpp_1,clean_no_protocol,no_tool_reader,L16H4,prefix_16,0.05940923094749451
codecontests_java_1,clean_full,query_reader,L2H14,tools_block,0.14234189689159393
codecontests_java_1,clean_full,query_reader,L2H14,tools_payload,0.0011831994634121656
codecontests_java_1,clean_full,query_reader,L2H14,tool_call_tags,0.004928968846797943
codecontests_java_1,clean_full,query_reader,L2H14,protocol_payload,nan
codecontests_java_1,clean_full,query_reader,L2H14,user_block,0.3036497235298157
codecontests_java_1,clean_full,query_reader,L2H14,prefix_16,0.14083541929721832
codecontests_java_1,clean_full,schema_reader,L21H12,tools_block,0.20766089856624603
codecontests_java_1,clean_full,schema_reader,L21H12,tools_payload,0.014709504321217537
codecontests_java_1,clean_full,schema_reader,L21H12,tool_call_tags,0.014645511284470558
codecontests_java_1,clean_full,schema_reader,L21H12,protocol_payload,nan
codecontests_java_1,clean_full,schema_reader,L21H12,user_block,0.012876315042376518
codecontests_java_1,clean_full,schema_reader,L21H12,prefix_16,0.027821684256196022
codecontests_java_1,clean_full,no_tool_reader,L16H4,tools_block,0.035714246332645416
codecontests_java_1,clean_full,no_tool_reader,L16H4,tools_payload,9.923915058607236e-07
codecontests_java_1,clean_full,no_tool_reader,L16H4,tool_call_tags,0.00010140457015950233
codecontests_java_1,clean_full,no_tool_reader,L16H4,protocol_payload,nan
codecontests_java_1,clean_full,no_tool_reader,L16H4,user_block,0.42306414246559143
codecontests_java_1,clean_full,no_tool_reader,L16H4,prefix_16,0.11030955612659454
codecontests_java_1,corrupt_full,query_reader,L2H14,tools_block,0.12226995825767517
codecontests_java_1,corrupt_full,query_reader,L2H14,tools_payload,0.0010286367032676935
codecontests_java_1,corrupt_full,query_reader,L2H14,tool_call_tags,0.00426328182220459
codecontests_java_1,corrupt_full,query_reader,L2H14,protocol_payload,nan
codecontests_java_1,corrupt_full,query_reader,L2H14,user_block,0.4139503240585327
codecontests_java_1,corrupt_full,query_reader,L2H14,prefix_16,0.11653738468885422
codecontests_java_1,corrupt_full,schema_reader,L21H12,tools_block,0.3489179313182831
codecontests_java_1,corrupt_full,schema_reader,L21H12,tools_payload,0.018601251766085625
codecontests_java_1,corrupt_full,schema_reader,L21H12,tool_call_tags,0.004254363477230072
codecontests_java_1,corrupt_full,schema_reader,L21H12,protocol_payload,nan
codecontests_java_1,corrupt_full,schema_reader,L21H12,user_block,0.15129439532756805
codecontests_java_1,corrupt_full,schema_reader,L21H12,prefix_16,0.21085238456726074
codecontests_java_1,corrupt_full,no_tool_reader,L16H4,tools_block,0.021440761163830757
codecontests_java_1,corrupt_full,no_tool_reader,L16H4,tools_payload,5.595098286903522e-07
codecontests_java_1,corrupt_full,no_tool_reader,L16H4,tool_call_tags,0.00012005957250948995
codecontests_java_1,corrupt_full,no_tool_reader,L16H4,protocol_payload,nan
codecontests_java_1,corrupt_full,no_tool_reader,L16H4,user_block,0.4978431761264801
codecontests_java_1,corrupt_full,no_tool_reader,L16H4,prefix_16,0.10160981118679047
codecontests_java_1,clean_no_schema,query_reader,L2H14,tools_block,0.045493967831134796
codecontests_java_1,clean_no_schema,query_reader,L2H14,tools_payload,0.0012456184485927224
codecontests_java_1,clean_no_schema,query_reader,L2H14,tool_call_tags,0.0056233094073832035
codecontests_java_1,clean_no_schema,query_reader,L2H14,protocol_payload,nan
codecontests_java_1,clean_no_schema,query_reader,L2H14,user_block,0.32940205931663513
codecontests_java_1,clean_no_schema,query_reader,L2H14,prefix_16,0.16851873695850372
codecontests_java_1,clean_no_schema,schema_reader,L21H12,tools_block,0.3081676661968231
codecontests_java_1,clean_no_schema,schema_reader,L21H12,tools_payload,0.030473021790385246
codecontests_java_1,clean_no_schema,schema_reader,L21H12,tool_call_tags,0.00383698265068233
codecontests_java_1,clean_no_schema,schema_reader,L21H12,protocol_payload,nan
codecontests_java_1,clean_no_schema,schema_reader,L21H12,user_block,0.10933642089366913
codecontests_java_1,clean_no_schema,schema_reader,L21H12,prefix_16,0.23320719599723816
codecontests_java_1,clean_no_schema,no_tool_reader,L16H4,tools_block,0.012947015464305878
codecontests_java_1,clean_no_schema,no_tool_reader,L16H4,tools_payload,6.359352482832037e-06
codecontests_java_1,clean_no_schema,no_tool_reader,L16H4,tool_call_tags,0.0001374546263832599
codecontests_java_1,clean_no_schema,no_tool_reader,L16H4,protocol_payload,nan
codecontests_java_1,clean_no_schema,no_tool_reader,L16H4,user_block,0.36260753870010376
codecontests_java_1,clean_no_schema,no_tool_reader,L16H4,prefix_16,0.0913698822259903
codecontests_java_1,clean_schema_mismatch,query_reader,L2H14,tools_block,0.14444592595100403
codecontests_java_1,clean_schema_mismatch,query_reader,L2H14,tools_payload,0.0011922704288735986
codecontests_java_1,clean_schema_mismatch,query_reader,L2H14,tool_call_tags,0.004759324248880148
codecontests_java_1,clean_schema_mismatch,query_reader,L2H14,protocol_payload,nan
codecontests_java_1,clean_schema_mismatch,query_reader,L2H14,user_block,0.307304322719574
codecontests_java_1,clean_schema_mismatch,query_reader,L2H14,prefix_16,0.14681872725486755
codecontests_java_1,clean_schema_mismatch,schema_reader,L21H12,tools_block,0.47933048009872437
