sample_id,base_variant,candidate,source_rescue,blocked_rescue,mlp27_mediated_rescue,blocked_retained_fraction,source_tool_top1,blocked_tool_top1,source_boundary_flip,blocked_boundary_flip
apps_python_1,corrupt_full,MLP27,0.6583710407239819,0.0,0.6583710407239819,0.0,False,False,False,False
apps_python_1,corrupt_full,L24H6,0.5475113122171946,0.23529411764705882,0.3122171945701358,0.42975206611570244,False,False,False,False
apps_python_1,corrupt_full,L21H12,0.45701357466063347,0.23529411764705882,0.22171945701357465,0.5148514851485149,False,False,False,False
apps_python_1,corrupt_full,L21H1,0.6266968325791855,0.33031674208144796,0.29638009049773756,0.5270758122743682,False,False,False,False
apps_python_1,corrupt_full,MLP19,0.7319004524886877,0.5180995475113123,0.21380090497737547,0.7078825347758888,False,False,False,False
apps_python_1,corrupt_full,MLP16,0.9680429864253394,0.7714932126696833,0.19654977375565608,0.7969617294770669,True,False,True,False
apps_python_1,corrupt_full,L23H6,0.6787330316742082,0.33031674208144796,0.3484162895927602,0.48666666666666664,False,False,False,False
apps_python_1,corrupt_full,L17H8,0.19909502262443438,0.09954751131221719,0.09954751131221719,0.5,False,False,False,False
apps_python_1,clean_no_schema,MLP27,0.028846153846153848,0.0,0.028846153846153848,0.0,True,False,True,False
apps_python_1,clean_no_schema,L24H6,0.051470588235294115,0.040158371040723985,0.01131221719457013,0.7802197802197803,True,True,True,True
apps_python_1,clean_no_schema,L21H12,0.08031674208144797,0.051470588235294115,0.028846153846153855,0.6408450704225351,True,True,True,True
apps_python_1,clean_no_schema,L21H1,0.11814196832579185,0.07239819004524888,0.04574377828054298,0.6128067025733095,True,True,True,True
apps_python_1,clean_no_schema,MLP19,0.12876484728506787,0.10633484162895927,0.0224300056561086,0.8258064516129032,True,True,True,True
apps_python_1,clean_no_schema,MLP16,0.06108597285067873,-0.014705882352941176,0.0757918552036199,-0.24074074074074076,True,False,True,True
apps_python_1,clean_no_schema,L23H6,0.11085972850678733,0.07183257918552036,0.03902714932126697,0.6479591836734694,True,True,True,True
apps_python_1,clean_no_schema,L17H8,0.08823529411764706,0.06278280542986425,0.025452488687782812,0.7115384615384615,True,True,True,True
apps_python_1,clean_schema_mismatch,MLP27,0.996606334841629,0.0,0.996606334841629,0.0,False,False,False,False
apps_python_1,clean_schema_mismatch,L24H6,0.6832579185520362,0.29411764705882354,0.3891402714932127,0.4304635761589404,False,False,False,False
apps_python_1,clean_schema_mismatch,L21H12,0.9785067873303167,0.5610859728506787,0.41742081447963797,0.5734104046242775,False,False,False,False
apps_python_1,clean_schema_mismatch,L21H1,0.997737556561086,0.5294117647058824,0.4683257918552036,0.5306122448979592,False,False,False,False
apps_python_1,clean_schema_mismatch,MLP19,0.5927601809954751,0.33031674208144796,0.26244343891402716,0.5572519083969465,False,False,False,False
apps_python_1,clean_schema_mismatch,MLP16,0.2669683257918552,0.13574660633484162,0.13122171945701358,0.5084745762711864,False,False,False,False
apps_python_1,clean_schema_mismatch,L23H6,0.8054298642533937,0.39819004524886875,0.40723981900452494,0.49438202247191004,False,False,False,False
apps_python_1,clean_schema_mismatch,L17H8,0.5294117647058824,0.2669683257918552,0.26244343891402716,0.5042735042735043,False,False,False,False
apps_python_1,clean_no_protocol,MLP27,2.013574660633484,0.0,2.013574660633484,0.0,False,False,False,False
apps_python_1,clean_no_protocol,L24H6,1.909502262443439,0.9411764705882353,0.9683257918552037,0.4928909952606635,False,False,False,False
apps_python_1,clean_no_protocol,L21H12,2.009049773755656,1.2307692307692308,0.7782805429864252,0.6126126126126127,False,False,False,False
apps_python_1,clean_no_protocol,L21H1,2.4705882352941178,1.4389140271493213,1.0316742081447965,0.5824175824175823,False,False,False,False
apps_python_1,clean_no_protocol,MLP19,0.36199095022624433,0.23529411764705882,0.12669683257918551,0.65,False,False,False,False
apps_python_1,clean_no_protocol,MLP16,-0.09049773755656108,0.3076923076923077,-0.3981900452488688,-3.4000000000000004,False,False,False,False
apps_python_1,clean_no_protocol,L23H6,1.2307692307692308,0.7239819004524887,0.5067873303167422,0.588235294117647,False,False,False,False
apps_python_1,clean_no_protocol,L17H8,0.6334841628959276,0.38009049773755654,0.25339366515837103,0.6,False,False,False,False
codecontests_cpp_1,corrupt_full,MLP27,0.8844339622641509,0.0,0.8844339622641509,0.0,False,False,False,False
codecontests_cpp_1,corrupt_full,L24H6,0.5778301886792453,0.2783018867924528,0.29952830188679247,0.4816326530612245,False,False,False,False
codecontests_cpp_1,corrupt_full,L21H12,0.8466981132075472,0.4716981132075472,0.375,0.5571030640668524,False,False,False,False
codecontests_cpp_1,corrupt_full,L21H1,0.8443396226415094,0.4528301886792453,0.3915094339622641,0.5363128491620112,False,False,False,False
codecontests_cpp_1,corrupt_full,MLP19,0.6320754716981132,0.3867924528301887,0.24528301886792447,0.6119402985074628,False,False,False,False
codecontests_cpp_1,corrupt_full,MLP16,0.7794811320754716,0.455188679245283,0.32429245283018865,0.583963691376702,False,False,False,False
codecontests_cpp_1,corrupt_full,L23H6,0.6556603773584906,0.3490566037735849,0.3066037735849057,0.5323741007194244,False,False,False,False
codecontests_cpp_1,corrupt_full,L17H8,0.24528301886792453,0.11320754716981132,0.1320754716981132,0.46153846153846156,False,False,False,False
codecontests_cpp_1,clean_no_schema,MLP27,0.30630896226415094,0.0,0.30630896226415094,0.0,True,False,True,False
codecontests_cpp_1,clean_no_schema,L24H6,0.2783018867924528,0.15330188679245282,0.125,0.5508474576271186,True,False,True,False
codecontests_cpp_1,clean_no_schema,L21H12,0.33903301886792453,0.2429245283018868,0.09610849056603774,0.7165217391304348,True,False,True,False
codecontests_cpp_1,clean_no_schema,L21H1,0.3251768867924528,0.23113207547169812,0.0940448113207547,0.7107887579329103,True,False,True,False
codecontests_cpp_1,clean_no_schema,MLP19,0.33814858490566035,0.28773584905660377,0.05041273584905659,0.8509154315605929,True,True,True,True
codecontests_cpp_1,clean_no_schema,MLP16,0.34065448113207547,0.2670990566037736,0.07355542452830188,0.7840761575075725,True,True,True,True
codecontests_cpp_1,clean_no_schema,L23H6,0.3157429245283019,0.2169811320754717,0.09876179245283018,0.6872082166199813,True,False,True,False
codecontests_cpp_1,clean_no_schema,L17H8,0.2429245283018868,0.15683962264150944,0.08608490566037735,0.6456310679611651,False,False,False,False
codecontests_cpp_1,clean_schema_mismatch,MLP27,0.9787735849056604,0.0,0.9787735849056604,0.0,True,False,True,False
codecontests_cpp_1,clean_schema_mismatch,L24H6,0.7051886792452831,0.33490566037735847,0.3702830188679246,0.4749163879598662,False,False,False,False
codecontests_cpp_1,clean_schema_mismatch,L21H12,1.0268278301886793,0.6344339622641509,0.39239386792452835,0.6178581682457651,True,False,True,False
codecontests_cpp_1,clean_schema_mismatch,L21H1,1.0215212264150944,0.6179245283018868,0.40359669811320753,0.604906204906205,True,False,True,False
codecontests_cpp_1,clean_schema_mismatch,MLP19,0.5283018867924528,0.2641509433962264,0.2641509433962264,0.5,False,False,False,False
codecontests_cpp_1,clean_schema_mismatch,MLP16,0.24056603773584906,0.11320754716981132,0.12735849056603774,0.47058823529411764,False,False,False,False
codecontests_cpp_1,clean_schema_mismatch,L23H6,0.7841981132075472,0.37735849056603776,0.4068396226415094,0.481203007518797,False,False,False,False
codecontests_cpp_1,clean_schema_mismatch,L17H8,0.4882075471698113,0.2641509433962264,0.22405660377358488,0.5410628019323672,False,False,False,False
codecontests_cpp_1,clean_no_protocol,MLP27,1.7735849056603774,0.0,1.7735849056603774,0.0,False,False,False,False
codecontests_cpp_1,clean_no_protocol,L24H6,1.6037735849056605,0.8113207547169812,0.7924528301886793,0.5058823529411764,False,False,False,False
codecontests_cpp_1,clean_no_protocol,L21H12,1.721698113207547,0.9764150943396226,0.7452830188679245,0.5671232876712329,False,False,False,False
codecontests_cpp_1,clean_no_protocol,L21H1,1.919811320754717,1.0188679245283019,0.9009433962264151,0.5307125307125308,False,False,False,False
codecontests_cpp_1,clean_no_protocol,MLP19,0.1509433962264151,0.07547169811320754,0.07547169811320754,0.5,False,False,False,False
codecontests_cpp_1,clean_no_protocol,MLP16,-0.9622641509433962,-0.4716981132075472,-0.49056603773584906,0.49019607843137253,False,False,False,False
codecontests_cpp_1,clean_no_protocol,L23H6,1.1462264150943395,0.5849056603773585,0.5613207547169811,0.5102880658436214,False,False,False,False
codecontests_cpp_1,clean_no_protocol,L17H8,0.25471698113207547,0.11320754716981132,0.14150943396226415,0.4444444444444445,False,False,False,False
codecontests_java_1,corrupt_full,MLP27,0.8676108374384236,0.0,0.8676108374384236,0.0,False,False,False,False
codecontests_java_1,corrupt_full,L24H6,0.6748768472906403,0.33497536945812806,0.3399014778325123,0.49635036496350365,False,False,False,False
codecontests_java_1,corrupt_full,L21H12,0.9227216748768473,0.5197044334975369,0.4030172413793104,0.5632298965632299,False,False,False,False
codecontests_java_1,corrupt_full,L21H1,0.6600985221674877,0.33004926108374383,0.33004926108374383,0.5,False,False,False,False
codecontests_java_1,corrupt_full,MLP19,0.541871921182266,0.30049261083743845,0.24137931034482757,0.5545454545454546,False,False,False,False
